DataAcc	SpecAcc	Age	RunID	ZTime	gtype	light	temp	sampleID	bname	header_	ZTime_int	fname_	date	genome	tophatOpt	trimmoOpt	type		sampleCode	mapped_reads	total_reads	runID
185RS12	Ath		185R	ZT12	Col	LD	27C	S12			12	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/185R/185R-931-Col-LD-27C-ZT12_S12/stringtieresults/gene_abund.tab										185R
185RS14	Ath		185R	ZT16	Col	LD	27C	S13			16	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/185R/185R-932-Col-LD-27C-ZT16_S13/stringtieresults/gene_abund.tab										185R
185RS17	Ath		185R	ZT20	Col	LD	27C	S14			20	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/185R/185R-933-Col-LD-27C-ZT20_S14/stringtieresults/gene_abund.tab										185R
181RS25	Ath	adult	181R	ZT12	ELF3-ox At		27C	S25	181R-Q-873-1480-ZT12-27C-adult_S25		12	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/181R_Q/181RQ-181R-Q-873-1480-ZT12-27C-adult_S25_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-82d0cb03-0956-4693-874f-b41e8ae462cf_output-folder/star_out/181R-Q-873-1480-ZT12-27C-adult_S25.fastq.gz/read_counts.tsv							873	12061945	12911362	181R
183RS9	Ath	unknown	183R	ZT8	ELF3-ox At		12C	S9	183RQ-1480-ZT8-12C_S9		8	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/183R_Q/183RQ-183RQ-1480-ZT8-12C_S9_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-163fb446-1812-4561-95ae-724ac9fe1131_output-folder/star_out/183RQ-1480-ZT8-12C_S9.fastq.gz/read_counts.tsv								33838500	36081087	183R
184RS6	Ath	unknown	184R	ZT12	ELF3-ox At		12C	S6	184R-Q-906-1480-ZT12-12C_S6		12	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/184R_Q/184RQ-184R-Q-906-1480-ZT12-12C_S6_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-27d567b9-9ce9-4073-aa16-b071d0e5a38c_output-folder/star_out/184R-Q-906-1480-ZT12-12C_S6.fastq.gz/read_counts.tsv							906	13727230	14425540	184R
177RS1	Ath	unknown	177R	ZT12	ELF3-ox At		22C	S1	177R-737-ELF3-ox-1480-ZT12-22C_S1		12	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/177R_Q/177RQ-177R-737-ELF3-ox-1480-ZT12-22C_S1_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-1a26aa47-30a4-4dff-a004-3c63db4f1221_output-folder/star_out/177R-737-ELF3-ox-1480-ZT12-22C_S1.fastq.gz/read_counts.tsv							737	20035179	22361487	177R
178RS5	Ath	unknown	178R	ZT8	ELF3-ox At		22C	S5	178R-725-ELF3-ox-1480-ZT8-22C_S5		8	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/178R_Q/178R-725-ELF3-ox-1480-ZT8-22C_S5_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-9f776e4f-0424-411f-8f71-d8118567b399_output-folder/star_out/178R-725-ELF3-ox-1480-ZT8-22C_S5.fastq.gz/read_counts.tsv							725	9344606	11269861	178R
181RS5	Ath	unknown	181R	ZT8	ELF3-ox At		22C	S5	181R-Q-853-1480-ZT8-22C_S5		8	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/181R_Q/181RQ-181R-Q-853-1480-ZT8-22C_S5_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-8e3d7803-4878-409d-8a19-e0e126d89f38_output-folder/star_out/181R-Q-853-1480-ZT8-22C_S5.fastq.gz/read_counts.tsv							853	10309762	11373578	181R
181RS15	Ath	unknown	181R	ZT12	ELF3-ox At		22C	S15	181R-Q-863-1480-ZT12-22C_S15		12	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/181R_Q/181RQ-181R-Q-863-1480-ZT12-22C_S15_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-09d35372-94b2-455e-9d52-eb6770d6e6d0_output-folder/star_out/181R-Q-863-1480-ZT12-22C_S15.fastq.gz/read_counts.tsv							863	7328480	8203984	181R
177RS7	Ath	unknown	177R	ZT12	ELF3-ox At		27C	S7	177R-743-ELF3-ox-1480-ZT12-27C_S7		12	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/177R_Q/177RQ-177R-743-ELF3-ox-1480-ZT12-27C_S7_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-e9fe4e79-0af3-4773-8f7e-cb0afb0a2bec_output-folder/star_out/177R-743-ELF3-ox-1480-ZT12-27C_S7.fastq.gz/read_counts.tsv							743	12088679	13361860	177R
178RS11	Ath	unknown	178R	ZT8	ELF3-ox At		27C	S11	178R-731-ELF3-ox-1480-ZT8-27C_S11		8	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/178R_Q/178R-731-ELF3-ox-1480-ZT8-27C_S11_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-ea7f7413-0b95-4730-b5bf-97b870796ba3_output-folder/star_out/178R-731-ELF3-ox-1480-ZT8-27C_S11.fastq.gz/read_counts.tsv							731	23342511	24916947	178R
183RS19	Ath	unknown	183R	ZT8	ELF3-ox At		27C	S19	183RQ-1480-ZT8-27C_S19		8	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/183R_Q/183RQ-183RQ-1480-ZT8-27C_S19_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-02c0aee4-f57d-484c-9c80-25ea04b7966b_output-folder/star_out/183RQ-1480-ZT8-27C_S19.fastq.gz/read_counts.tsv								20925154	23072784	183R
184RS16	Ath	unknown	184R	ZT12	ELF3-ox At		27C	S16	184R-Q-917-1480-ZT12-27C_S16		12	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/184R_Q/184RQ-184R-Q-917-1480-ZT12-27C_S16_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-4d6974b7-1da6-451a-92e4-7608b8694a3b_output-folder/star_out/184R-Q-917-1480-ZT12-27C_S16.fastq.gz/read_counts.tsv							917	3018636	3405603	184R
181RS10	Ath	unknown	181R	ZT8	ELF3-ox At		27C	S10	181R-Q-858-1480-ZT8-27C_S10		8	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/181R_Q/181RQ-181R-Q-858-1480-ZT8-27C_S10_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-7f45ba2f-31de-4ca4-b4c1-ad9f4f565d27_output-folder/star_out/181R-Q-858-1480-ZT8-27C_S10.fastq.gz/read_counts.tsv							858	13082234	14375744	181R
181RS20	Ath	unknown	181R	ZT12	ELF3-ox At		27C	S20	181R-Q-868-1480-ZT12-27C_S20		12	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/181R_Q/181RQ-181R-Q-868-1480-ZT12-27C_S20_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-3dd4bc48-3944-45e8-9413-f5be139cd036_output-folder/star_out/181R-Q-868-1480-ZT12-27C_S20.fastq.gz/read_counts.tsv							868	11231253	12513787	181R
181RS22	Ath	adult	181R	ZT12	ELF3-ox Bd		27C	S22	181R-Q-870-4196-ZT12-27C-adult_S22		12	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/181R_Q/181RQ-181R-Q-870-4196-ZT12-27C-adult_S22_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-677615ac-d88b-45ab-92f4-29d54b920090_output-folder/star_out/181R-Q-870-4196-ZT12-27C-adult_S22.fastq.gz/read_counts.tsv							870	9992355	11033804	181R
183RS11	Ath	unknown	183R	ZT8	ELF3-ox Bd		12C	S11	183RQ-4196-ZT8-12C_S11		8	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/183R_Q/183RQ-183RQ-4196-ZT8-12C_S11_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-37dbd2fe-6295-4c80-a004-d6f44b3e99fa_output-folder/star_out/183RQ-4196-ZT8-12C_S11.fastq.gz/read_counts.tsv								27933546	29665230	183R
184RS8	Ath	unknown	184R	ZT12	ELF3-ox Bd		12C	S8	184R-Q-908-4196-ZT12-12C_S8		12	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/184R_Q/184RQ-184R-Q-908-4196-ZT12-12C_S8_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-1f459037-3c38-496b-91ab-92a907b2a88c_output-folder/star_out/184R-Q-908-4196-ZT12-12C_S8.fastq.gz/read_counts.tsv							908	16479665	17365050	184R
181RS2	Ath	unknown	181R	ZT8	ELF3-ox Bd		22C	S2	181R-Q-850-4196-ZT8-22C_S2		8	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/181R_Q/181RQ-181R-Q-850-4196-ZT8-22C_S2_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-dfeeab89-7797-41e4-83fa-07f727dcdf0a_output-folder/star_out/181R-Q-850-4196-ZT8-22C_S2.fastq.gz/read_counts.tsv							850	7803782	8248133	181R
181RS12	Ath	unknown	181R	ZT12	ELF3-ox Bd		22C	S12	181R-Q-860-4196-ZT12-22C_S12		12	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/181R_Q/181RQ-181R-Q-860-4196-ZT12-22C_S12_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-90bd85fa-ff02-4e75-a2db-9cd7de9e36d4_output-folder/star_out/181R-Q-860-4196-ZT12-22C_S12.fastq.gz/read_counts.tsv							860	16179179	17223579	181R
183RS21	Ath	unknown	183R	ZT8	ELF3-ox Bd		27C	S21	183RQ-4196-ZT8-27C_S21		8	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/183R_Q/183RQ-183RQ-4196-ZT8-27C_S21_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-b8b3c312-b4c7-4f0f-ac7d-ea8ed5dbf134_output-folder/star_out/183RQ-4196-ZT8-27C_S21.fastq.gz/read_counts.tsv								10636405	11987194	183R
184RS18	Ath	unknown	184R	ZT12	ELF3-ox Bd		27C	S18	184R-Q-919-4196-ZT12-27C_S18		12	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/184R_Q/184RQ-184R-Q-919-4196-ZT12-27C_S18_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-32f2a070-3291-4449-8401-f42241745123_output-folder/star_out/184R-Q-919-4196-ZT12-27C_S18.fastq.gz/read_counts.tsv							919	16800245	17853946	184R
181RS7	Ath	unknown	181R	ZT8	ELF3-ox Bd		27C	S7	181R-Q-855-4196-ZT8-27C_S7		8	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/181R_Q/181RQ-181R-Q-855-4196-ZT8-27C_S7_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-e0bf180b-ec22-4496-832b-c55bdd61df19_output-folder/star_out/181R-Q-855-4196-ZT8-27C_S7.fastq.gz/read_counts.tsv							855	10621349	11577633	181R
181RS17	Ath	unknown	181R	ZT12	ELF3-ox Bd		27C	S17	181R-Q-865-4196-ZT12-27C_S17		12	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/181R_Q/181RQ-181R-Q-865-4196-ZT12-27C_S17_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-bbc468c4-64e0-41cb-9754-05676cad8d61_output-folder/star_out/181R-Q-865-4196-ZT12-27C_S17.fastq.gz/read_counts.tsv							865	13711948	14861877	181R
181RS21	Ath	adult	181R	ZT12	ELF3-ox potato		27C	S21	181R-Q-869-4195-ZT12-27C-adult_S21		12	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/181R_Q/181RQ-181R-Q-869-4195-ZT12-27C-adult_S21_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-ade3988e-ea83-40ea-a553-0174574ec16e_output-folder/star_out/181R-Q-869-4195-ZT12-27C-adult_S21.fastq.gz/read_counts.tsv							869	1262060	1449947	181R
183RS10	Ath	unknown	183R	ZT8	ELF3-ox potato		12C	S10	183RQ-4195-ZT8-12C_S10		8	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/183R_Q/183RQ-183RQ-4195-ZT8-12C_S10_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-8525d44a-93ba-44f1-a5fd-311061dd6929_output-folder/star_out/183RQ-4195-ZT8-12C_S10.fastq.gz/read_counts.tsv								25522979	28247968	183R
184RS7	Ath	unknown	184R	ZT12	ELF3-ox potato		12C	S7	184R-Q-907-4195-ZT12-12C_S7		12	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/184R_Q/184RQ-184R-Q-907-4195-ZT12-12C_S7_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-9f10f464-cb7a-49de-956a-d206aef2f174_output-folder/star_out/184R-Q-907-4195-ZT12-12C_S7.fastq.gz/read_counts.tsv							907	10723373	11295427	184R
181RS1	Ath	unknown	181R	ZT8	ELF3-ox potato		22C	S1	181R-Q-849-4195-ZT8-22C_S1		8	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/181R_Q/181RQ-181R-Q-849-4195-ZT8-22C_S1_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-ba346419-9160-44cd-8c8a-d097efcd9ab6_output-folder/star_out/181R-Q-849-4195-ZT8-22C_S1.fastq.gz/read_counts.tsv							849	15326745	16288690	181R
181RS11	Ath	unknown	181R	ZT12	ELF3-ox potato		22C	S11	181R-Q-859-4195-ZT12-22C_S11		12	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/181R_Q/181RQ-181R-Q-859-4195-ZT12-22C_S11_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-620b5a82-f542-4f3c-a6ec-18cb044c7d1a_output-folder/star_out/181R-Q-859-4195-ZT12-22C_S11.fastq.gz/read_counts.tsv							859	16385166	17651930	181R
183RS20	Ath	unknown	183R	ZT8	ELF3-ox potato		27C	S20	183RQ-4195-ZT8-27C_S20		8	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/183R_Q/183RQ-183RQ-4195-ZT8-27C_S20_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-544142d8-f065-4e79-afd4-c22feb6f20fc_output-folder/star_out/183RQ-4195-ZT8-27C_S20.fastq.gz/read_counts.tsv								21499942	23456073	183R
184RS17	Ath	unknown	184R	ZT12	ELF3-ox potato		27C	S17	184R-Q-918-4195-ZT12-27C_S17		12	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/184R_Q/184RQ-184R-Q-918-4195-ZT12-27C_S17_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-b1766005-1229-4eb2-89e3-49c8225c3582_output-folder/star_out/184R-Q-918-4195-ZT12-27C_S17.fastq.gz/read_counts.tsv							918	2318537	2823441	184R
181RS6	Ath	unknown	181R	ZT8	ELF3-ox potato		27C	S6	181R-Q-854-4195-ZT8-27C_S6		8	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/181R_Q/181RQ-181R-Q-854-4195-ZT8-27C_S6_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-b65a7531-1e02-47e3-b453-3526d5f6f2b7_output-folder/star_out/181R-Q-854-4195-ZT8-27C_S6.fastq.gz/read_counts.tsv							854	14334980	15748677	181R
181RS16	Ath	unknown	181R	ZT12	ELF3-ox potato		27C	S16	181R-Q-864-4195-ZT12-27C_S16		12	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/181R_Q/181RQ-181R-Q-864-4195-ZT12-27C_S16_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-2f588a3f-fb7d-45f4-8e61-01d1fab0cb9f_output-folder/star_out/181R-Q-864-4195-ZT12-27C_S16.fastq.gz/read_counts.tsv							864	14653520	16010151	181R
178RS3	Ath	unknown	178R	ZT8	ELF4-ox		22C	S3	178R-723-ELF4-ox-1462-ZT8-22C_S3		8	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/178R_Q/178R-723-ELF4-ox-1462-ZT8-22C_S3_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-bacba17d-d8c7-4564-bc00-18fd8e7981ac_output-folder/star_out/178R-723-ELF4-ox-1462-ZT8-22C_S3.fastq.gz/read_counts.tsv							723	14199112	15221086	178R
178RS15	Ath	unknown	178R	ZT12	ELF4-ox		22C	S15	178R-735-ELF4-ox-1462-ZT12-22C_S15		12	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/178R_Q/178R-735-ELF4-ox-1462-ZT12-22C_S15_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-eddf2c62-541e-4bdc-8405-0fca9fb6fb34_output-folder/star_out/178R-735-ELF4-ox-1462-ZT12-22C_S15.fastq.gz/read_counts.tsv							735	14091210	15237802	178R
177RS5	Ath	unknown	177R	ZT12	ELF4-ox		27C	S5	177R-741-ELF4-ox-1462-ZT12-27C_S5		12	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/177R_Q/177RQ-177R-741-ELF4-ox-1462-ZT12-27C_S5_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-23ed44bc-19f5-4b15-88cb-eac39a8d4338_output-folder/star_out/177R-741-ELF4-ox-1462-ZT12-27C_S5.fastq.gz/read_counts.tsv							741	13218392	14781332	177R
178RS9	Ath	unknown	178R	ZT8	ELF4-ox		27C	S9	178R-729-ELF4-ox-1462-ZT8-27C_S9		8	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/178R_Q/178R-729-ELF4-ox-1462-ZT8-27C_S9_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-1b660d74-413f-40f3-9ca3-bcb678c46354_output-folder/star_out/178R-729-ELF4-ox-1462-ZT8-27C_S9.fastq.gz/read_counts.tsv							729	25103395	27026267	178R
183RS3	Ath	unknown	183R	ZT8	Q0-15		12C	S3	183RQ-Q0-15-ZT8-12C_S3		8	/media/pw_synology3/PW_HiSeq_data/RNA-seq/Mapped_data/183R_Q/183RQ-183RQ-Q0-15-ZT8-12C_S3_fastq_gz-A_thaliana__TAIR10__Lexogen_QuantSeq_2_2_3_FWD-61b2d640-25a5-4eaa-bef0-765a74c3ff64_output-folder/star_out/183RQ-Q0-15-ZT8-12C_S3.fastq.gz/read_counts.tsv								20127243	23037076	183R
